AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|M|AZUAY|CHORDELEG|107177,9400|5054,7900|0,0000|0,0000|0,0000|63684,8800|7078,2800|0,0000|0,0000|72502,6900|112232,7300
2025|1|G|MANABI|BOLIVAR|1606970,2200|1818046,7800|0,0000|31420,3700|273012,3000|2073010,1800|1426721,0300|97,1100|291330,9200|3837240,5900|3729449,6700
2025|1|S|ORELLANA|LORETO|47597,4900|31658,7800|1,0100|0,0000|0,0000|185143,7000|19190,4700|0,0000|3373,9500|207749,8400|79257,2800
2025|1|P|MANABI|JIPIJAPA|2134,0400|68881,8700|0,0000|0,0000|0,0000|202214,0800|8277,0500|0,0000|609,5000|211100,6300|71015,9100
2025|1|H|AZUAY|OÑA|431,3800|4129,5700|0,0000|0,0000|0,0000|1400,3300|0,0000|0,0000|280,0000|1680,3300|4560,9500
2025|1|T|GUAYAS|MILAGRO|2213,3500|32727,1000|0,0000|0,0000|0,0000|5657,4600|23734,0300|0,0000|0,0000|29391,4900|34940,4500
2025|1|X|MANABI|PORTOVIEJO|55,0000|0,0000|0,0000|0,0000|0,0000|445,9300|0,0000|0,0000|0,0000|445,9300|55,0000
2025|1|J|EL ORO|SANTA ROSA|41166,6800|0,0000|0,0000|0,0000|0,0000|37493,6000|2540,0300|0,0000|0,0000|40033,6300|41166,6800
2025|1|N|ESMERALDAS|RIO VERDE|31193,5800|48242,9200|0,0000|0,0000|0,0000|9036,2900|276,7500|0,0000|750,0000|10300,1900|79436,5000
2025|1|G|MANABI|JUNIN|505307,8100|4190424,5800|0,0000|0,0000|4895,0200|504594,5400|2207721,9200|329768,3000|2901,2000|3049894,7600|4700627,4100
2025|1|M|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|397493,0300|171672,3000|0,0000|0,0000|0,0000|245143,1000|101267,5400|0,0000|7642,8900|359408,5800|569165,3300
2025|1|S|IMBABURA|COTACACHI|56131,7300|23017,9800|0,0000|0,0000|8325,0000|91352,6700|18814,8200|0,0000|1769,0000|113274,3000|87474,7100
