AÑO;MES;CODIGO_SECTOR_N1;PROVINCIA;CANTON;VENTAS_NETAS_TARIFA_GRAVADA;VENTAS_NETAS_TARIFA_0;VENTAS_NETAS_TARIFA_VARIABLE;VENTAS_NETAS_TARIFA_5;EXPORTACIONES;COMPRAS_NETAS_TARIFA_GRAVADA;COMPRAS_NETAS_TARIFA_0;IMPORTACIONES;COMPRAS_RISE;TOTAL_COMPRAS;TOTAL_VENTAS
2025;1;O;ZAMORA CHINCHIPE;PAQUISHA;2102,1;263,26;0;0;0;118523,67;12981,12;0;0;131504,79;2365,36
2025;1;T;AZUAY;CUENCA;140;1568,18;0;0;0;25343,87;0;0;0;25343,87;1708,18
2025;1;P;TUNGURAHUA;QUERO;171;16389;0;0;0;3165,23;3064,98;0;0;6230,21;16560
2025;1;L;ZAMORA CHINCHIPE;NANGARITZA;2000;0,01;0;0;0;2233,53;0;0;0;2233,53;2000,01
2025;1;I;BOLIVAR;CHILLANES;1645,3;505,12;0;0;0;435,99;450;0;0;885,99;2150,42
2025;1;S;AZUAY;OÑA;837;8869;0;0;0;1127,76;26,67;0;0;1154,43;9706
2025;1;J;LOJA;CATAMAYO;80440,25;71,18;0;0;0;40228,2;3533,55;0;361,3;44228,76;80511,43
2025;1;Q;ZAMORA CHINCHIPE;PALANDA;0;260;0;0;0;0;0;0;0;0;260
2025;1;N;AZUAY;NABON;5629,01;0;0;0;0;53900,32;0;0;0;53900,32;5629,01
2025;1;R;SUCUMBIOS;GONZALO PIZARRO;0;356,15;0;0;0;300,57;896,08;0;650;2436,17;356,15
2025;1;E;NAPO;QUIJOS;0;11648,2;0;0;0;3930,51;2894,29;0;0;6824,8;11648,2
2025;1;K;BOLIVAR;LAS NAVES;16628,45;252700,02;0;0;0;30512,1;23066,94;0;622,5;54201,54;269328,47
2025;1;E;GUAYAS;EL EMPALME;78243,26;2521,86;0;0;0;18939,74;23856,67;0;265;43182,41;80765,12
2025;1;B;PASTAZA;ARAJUNO;0;0;0;0;0;0;0;0;0;0;0
2025;1;U;EL ORO;HUAQUILLAS;2059,46;11943,76;0;0;0;1994,36;14383,15;0;0;16377,51;14003,22
2025;1;J;LOS RIOS;VENTANAS;378377,73;0;0;0;0;194625,57;9850,93;0;6702,69;211179,19;378377,73
2025;1;P;ORELLANA;LORETO;4939,4;0;0;0;0;1562,96;125,41;0;0;1688,37;4939,4
2025;1;V;PICHINCHA;QUITO;58344,59;2753,92;0;0;9053,15;67866,14;11515,99;0;605;79995,56;70151,66
2025;1;P;GUAYAS;SIMON BOLIVAR;456,95;0;0;0;0;1247;138,91;0;0;1385,91;456,95
2025;1;K;GUAYAS;PEDRO CARBO;0;0;0;0;0;0;0;0;0;0;0
2025;1;J;CHIMBORAZO;CHAMBO;4166,22;0;0;0;0;3860,88;0;0;0;3860,88;4166,22
2025;1;O;GUAYAS;SIMON BOLIVAR;1783,69;0;0;0;0;70475,95;1291,86;0;0;71767,81;1783,69
2025;1;Q;SUCUMBIOS;PUTUMAYO;0;6918,4;0;0;0;3956,74;9383,88;0;0;13340,62;6918,4
2025;1;Q;NAPO;EL CHACO;0;1412;0;0;0;0;0;0;0;0;1412
2025;1;I;GUAYAS;LOMAS DE SARGENTILLO;2784,2;15321,46;0;0;0;1652,82;13695,55;0;0;15348,37;18105,66
2025;1;Q;COTOPAXI;SIGCHOS;2136,28;10939,87;0;0;0;2909,2;7440,03;0;0;10349,23;13076,15
2025;1;R;GUAYAS;NARANJITO;9800;0;0;0;0;1980;0;0;0;1980;9800
2025;1;I;MORONA SANTIAGO;PABLO SEXTO;0,01;0;0;0;0;1979,7;1142,77;0;0;3122,47;0,01
2025;1;V;TUNGURAHUA;SANTIAGO DE PILLARO;1;0;0;0;0;0;0;0;0;0;1
2025;1;I;LOJA;PALTAS;3954,26;456,01;0;0;0;4240,95;3242,92;0;0;7483,87;4410,27
2025;1;N;CHIMBORAZO;PENIPE;0,01;0;0;0;0;17,9;137,78;0;0;155,68;0,01
2025;1;Q;CAÑAR;BIBLIAN;3176,23;25409,52;0;0;0;4889,49;5859,02;3884,35;223,8;14856,66;28585,75
2025;1;Q;PASTAZA;ARAJUNO;0;0;0;0;0;0;0;0;0;0;0
2025;1;O;GUAYAS;SALITRE;493,59;0;0;0;0;54649,22;14083,96;0;5211,5;73944,68;493,59
2025;1;C;LOJA;SOZORANGA;0;27;0;0;0;214,9;0;0;0;214,9;27
2025;1;D;COTOPAXI;SAQUISILI;0;0;0;0;0;0;0;0;0;0;0
2025;1;B;GUAYAS;NARANJAL;375,01;1564,84;0;0;0;34799,6;1197,39;0;0;35996,99;1939,85
2025;1;J;BOLIVAR;ECHEANDIA;3517,28;0,02;0;0;0;4801,95;55,07;0;0;4857,02;3517,3
2025;1;K;LOS RIOS;VALENCIA;0;0;0;0;0;0;0;0;0;0;0
2025;1;Q;GUAYAS;EL TRIUNFO;75545,88;30086,81;0;0;0;69820,27;14452,93;0;0;84273,2;105632,69
2025;1;O;COTOPAXI;PANGUA;0;1690,02;0;0;0;42617,2;1989,1;0;2735;47341,3;1690,02
2025;1;Q;MANABI;CHONE;28712,32;106258,55;0;0;0;111879,23;56511,73;0;7862,97;176253,93;134970,87
2025;1;P;ZAMORA CHINCHIPE;ZAMORA;1000,99;1255;0;0;0;6256,06;502,47;0;805;7563,53;2255,99
2025;1;O;CHIMBORAZO;GUAMOTE;1563,33;70608,33;0;0;0;296467,49;36635,48;0;0;333102,97;72171,66
2025;1;F;CHIMBORAZO;GUANO;30012,33;41960;0;0,01;0;85186,26;12760,59;45,04;11678,92;112617,83;71972,34
2025;1;H;CHIMBORAZO;PENIPE;12951,71;24577,18;0;0;0;13781,29;13103,04;0;1499,5;28383,83;37528,89
2025;1;C;CHIMBORAZO;CHUNCHI;16075,5;8705,05;0;0;0;34308,55;4588,07;0;0;40306,14;24780,55
2025;1;A;GUAYAS;PLAYAS;299547,91;2673863,96;0;0;0;1177787,75;1865498,33;0;2178,6;3047084,78;2973411,87
2025;1;M;MANABI;EL CARMEN;473504,13;314438,88;0;1;0;375233,4;130915,52;9781,34;21277;543847,63;787944,01
2025;1;N;GUAYAS;PALESTINA;10757,88;946,25;0;0;0;8961,66;321,84;0;6450,55;15734,05;11704,13
2025;1;J;MANABI;CHONE;41527,28;14320,75;0;0;0;46676,48;27118,26;0;3000;77049,88;55848,03
2025;1;E;SUCUMBIOS;SHUSHUFINDI;0;754,1;0;0;0;2757,15;368,68;0;0;3125,83;754,1
2025;1;Q;ESMERALDAS;ESMERALDAS;62273,51;297312,15;0;0;0;303106,97;207262,21;0;1440;511865,87;359585,66
